VideoId,Label
y1dl,3 4 10 13 9 33 28 6 38 14
rVdl,184 364 380 88 416 1013 514 985 248 307
9Edl,2 45 7 453 51 75 44 145 308 1703
NEdl,4 14 13 3 54 6 10 9 749 154
XKdl,12 0 689 91 1281 79 675 432 1459 237
oBdl,12 237 0 675 103 79 82 118 696 685
1edl,3 4 6 13 10 28 33 9 38 324
2Rdl,1 0 35 3350 2928 1521 337 517 1051 1834
8Edl,2 411 7 62 1154 2562 44 498 165 17
O2dl,8 14 6 332 206 148 2848 698 1223 548
Lldl,983 1 1149 0 1581 5 35 3775 613 309
atdl,2 7 464 252 316 495 197 116 710 469
ymdl,278 97 10 31 243 4 47 13 3 14
Oddl,188 4 13 28 10 9 33 3 38 594
fCdl,55 30 2 143 17 340 1557 1197 427 408
Wrdl,206 650 8 6 894 346 3737 812 350 136
CAdl,96 15 1812 463 18 397 708 2298 1532 769
4Ydl,0 1 193 1150 591 69 105 93 84 761
mgdl,0 1 1654 93 5 203 1071 139 241 102
Rcdl,2 218 75 56 2572 7 508 1805 224 1425
9Ldl,2980 2 7 197 2140 513 2563 320 361 316
cQdl,279 158 2355 146 15 284 439 23 18 170
fRdl,5 0 16 84 1903 1 1635 714 3643 150
Zodl,1716 698 206 1007 2753 846 54 1493 650 622
bGdl,56 51 45 2 1161 77 295 1052 179 7
vRdl,814 11 2066 1320 176 996 1411 20 1291 123
vwdl,3001 388 347 390 1025 3343 598 701 251 1300
WHdl,1656 11 763 495 464 32 679 2 442 7
A0dl,0 1 36 94 132 183 142 35 423 887
Kxdl,51 45 56 77 2 137 456 442 1052 1879
6Ydl,23 1262 864 21 1354 1 592 192 434 105
uWdl,2 104 218 7 56 165 508 75 1087 2477
cudl,8 71 6 152 3 13 383 1480 54 293
3udl,16 1259 234 26 466 1718 1 5 0 782
qKdl,92 0 230 749 1 1463 12 846 948 884
gBdl,83 2 7 778 751 531 75 542 17 262
XSdl,3 6 4 13 54 1830 2839 28 10 154
EKdl,22 20 11 122 32 29 304 1854 112 472
fwdl,14 578 61 847 2308 3469 6 2746 2388 330
rudl,39 50 207 66 1042 674 202 2231 121 1505
aAdl,2 7 30 45 1930 53 464 83 17 174
lqdl,188 594 168 31 40 330 97 13 1461 47
50dl,998 65 50 256 355 422 2327 927 11 1007
HUdl,3 4 6 38 310 13 28 1715 939 33
Gjdl,0 1 35 134 1445 768 3612 85 27 795
7Edl,8 296 71 6 3788 1027 152 3822 944 1776
Tjdl,8 6 3 41 1388 597 205 857 89 647
uGdl,215 611 0 217 1092 3270 1865 1175 622 765
f7dl,971 798 824 1243 239 1061 11 1305 1867 2173
C6dl,79 52 12 118 0 103 675 82 125 237
medl,30 2 55 361 940 2018 464 280 174 2825
O6dl,3 6 8 433 2746 2287 2102 474 71 597
0idl,105 183 192 424 1 246 106 455 658 588
1Edl,31 40 47 57 4 2249 660 301 2137 1024
LPdl,4 3 10 13 9 34 1715 154 3153 71
Uddl,21 23 217 215 447 643 412 915 0 790
6Pdl,83 2 7 541 2130 262 820 11 804 1613
6Mdl,149 64 2 7 1436 729 129 1 17 639
3Xdl,2 7 2229 17 53 3005 1197 280 128 58
brdl,330 97 146 291 1964 168 154 179 158 585
okdl,182 392 634 248 1068 385 2 452 166 990
EEdl,39 121 338 529 866 23 202 627 393 674
iWdl,22 3179 11 20 43 32 29 571 59 101
S1dl,27 0 1 442 5 134 35 189 192 46
Ikdl,133 325 21 12 53 189 1570 749 158 58
p5dl,8 99 807 846 1199 2848 6 127 110 812
iFdl,39 184 66 216 1964 88 21 11 2519 181
Cwdl,270 646 62 251 993 7 2 2577 26 641
8ddl,225 1297 133 25 2380 1027 2079 430 1641 16
Bndl,5 16 3715 144 3604 25 3038 81 2674 1819
Wsdl,5 0 1 16 69 958 535 150 2451 84
qxdl,14 4 6 578 2853 2308 2807 702 25 260
Gtdl,21 23 24 158 2676 115 279 146 1705 1629
CPdl,9 34 10 4 840 3271 2261 2013 37 2047
Zkdl,3 4 13 10 28 33 38 9 6 54
vXdl,9 37 10 4 34 2515 1059 3686 2656 1523
Nhdl,3 433 1074 99 310 1715 89 8 179 6
Podl,5 16 1697 973 1312 1545 1862 2399 3038 1082
f5dl,17 143 19 30 2 55 340 7 659 443
dPdl,31 47 40 57 2249 626 4 1706 663 618
GAdl,9 34 10 4 840 37 2582 2996 2261 3271
7udl,5 84 169 362 16 1140 14 405 3202 1129
kCdl,3 6 4 324 433 1473 14 332 2187 28
Aldl,1288 1329 21 24 158 23 279 712 146 26
eodl,663 332 39 592 595 3595 2010 242 459 2437
0Hdl,2 83 7 62 90 1453 869 17 75 262
2Sdl,12 0 432 125 8 52 71 271 1459 846
Hmdl,6 8 206 3 414 1633 1395 894 4 834
cGdl,96 15 789 397 1795 3430 1626 1812 1627 1646
Oadl,1148 514 184 1443 307 1025 341 2473 763 364
mZdl,251 400 277 1299 641 1638 616 497 127 966
5idl,114 46 107 44 2 155 109 1170 145 138
HZdl,0 319 1 5 1802 69 234 159 1319 644
lldl,51 45 77 2 56 137 442 1052 803 1952
sRdl,24 21 23 73 1 288 322 246 684 115
wodl,1 0 35 2267 436 192 1623 203 1606 517
0Vdl,93 102 0 1 670 897 1491 1802 110 124
hxdl,8 141 1416 16 755 6 1400 726 368 2824
uZdl,2 30 55 7 280 17 174 975 1492 361
kodl,1 0 153 654 132 180 968 36 719 562
hWdl,2 2246 7 19 17 531 129 2517 128 2292
zsdl,17 394 19 2 7 415 75 566 373 172
sSdl,4 14 9 10 3 6 13 2261 28 37
PFdl,34 9 10 4 3271 840 2311 539 2582 889
szdl,0 1 193 69 3358 935 2210 395 535 739
wEdl,4 3 9 13 10 324 89 14 28 33
Frdl,15 18 67 140 87 2153 2142 2447 1122 363
wOdl,39 121 338 207 156 202 627 529 986 393
6pdl,43 101 59 18 286 991 1685 60 2 374
ngdl,87 18 15 545 536 365 244 333 3516 1696
D6dl,1677 19 0 318 17 448 272 1 659 2115
ludl,821 85 210 284 237 2 347 145 675 1289
k9dl,14 8 71 146 698 332 3149 111 944 595
7kdl,21 24 23 115 1 0 349 158 535 590
7rdl,0 12 1459 1281 91 689 3144 79 432 237
d8dl,27 0 1 2267 2164 192 1021 1898 739 1729
BYdl,2 7 197 174 316 710 513 344 171 957
Uedl,69 478 1 0 1111 3308 1783 1929 378 236
ubdl,0 1 5 3198 42 193 2638 244 1250 409
GWdl,208 62 2 7 75 251 83 1161 2218 2633
6zdl,19 1 0 48 524 768 258 344 17 104
Xmdl,143 30 17 340 2 55 427 2878 19 1557
7pdl,76 2 446 281 419 571 43 991 299 473
iwdl,492 31 40 57 3121 117 386 159 157 2040
Zmdl,3 4 6 13 10 324 28 33 9 38
hadl,9 10 34 3101 4 754 2996 2548 49 618
dWdl,179 2285 2319 2 46 451 501 155 1813 1009
Ahdl,1901 1 358 2 590 25 105 35 1885 7
Kbdl,33 78 28 86 38 257 4 13 3 553
uqdl,67 140 18 15 1048 1910 796 1486 3400 3220
Vgdl,1258 607 66 1286 21 148 766 1346 879 293
Tcdl,94 36 147 423 25 1 74 684 141 255
VQdl,100 161 567 704 356 329 8 1455 548 13
F6dl,14 1477 3153 1075 595 663 2588 6 332 3520
4odl,5 16 744 3639 990 84 618 136 3717 18
rhdl,9 37 10 1951 4 1523 309 1263 2969 1318
gzdl,9 10 4 37 34 309 1318 2996 1721 1523
s3dl,88 191 380 299 184 416 364 1013 276 985
w2dl,258 1596 1 19 0 48 183 2816 691 180
zUdl,3 6 4 10 8 3479 159 324 626 2258
VFdl,164 13 175 8 1633 1191 4 1101 89 842
R6dl,178 15 126 59 11 1801 112 18 1077 1661
Ezdl,131 74 24 880 209 2962 21 187 1757 23
4Sdl,21 23 24 2454 471 718 115 73 684 554
rJdl,9 37 10 4 1312 301 34 826 309 5
Ipdl,4 10 9 3 6 28 13 33 325 34
I7dl,0 1 3376 935 5 35 69 1319 3723 395
55dl,12 0 3144 689 1281 1937 312 2717 523 1459
PEdl,25 1 285 157 1586 2531 1414 0 481 1439
Rsdl,39 202 627 121 866 50 66 674 393 986
HSdl,4 9 10 13 33 28 34 2582 154 910
dFdl,89 71 175 201 8 88 667 1781 1389 11
Azdl,51 2 1516 45 56 77 442 418 137 298
n1dl,804 620 7 971 824 783 2 798 1926 1346
YIdl,8 16 89 1594 175 769 6 3 5 201
SCdl,176 1411 123 814 996 1201 11 27 843 1157
AOdl,0 12 91 312 63 1459 336 1 1937 884
7odl,3016 0 1 16 36 2666 5 147 132 88
Jmdl,124 1 0 317 287 1084 180 153 1512 186
qGdl,666 427 519 289 58 53 15 60 571 482
Sbdl,430 32 3175 20 22 29 2691 679 120 11
OYdl,1280 205 2562 598 2287 1493 308 260 1245 296
e9dl,1993 1290 451 646 128 717 1865 17 2 571
badl,24 23 21 74 937 131 471 703 187 115
Ujdl,23 21 24 73 288 322 504 554 209 676
FWdl,14 2388 25 2308 197 2701 578 61 3385 847
g9dl,0 1 3723 35 81 5 42 3669 309 739
Xzdl,12 0 675 237 1937 689 91 1281 2717 312
H7dl,422 485 11 1267 1112 199 26 1517 2320 1115
0Jdl,8 6 414 726 894 558 2403 3546 1292 1517
hZdl,5 84 675 0 447 215 169 801 16 643
TGdl,188 594 168 1461 585 330 3103 2348 565 54
DIdl,0 882 1 2267 203 436 562 337 53 124
bvdl,79 0 91 376 12 806 312 118 164 19
dxdl,205 429 1945 1389 598 944 564 806 1776 1245
2fdl,3 6 4 10 9 13 351 8 2967 807
vsdl,154 4 13 263 54 3 2839 33 10 6
tmdl,3 4 28 6 33 10 13 38 9 2186
QTdl,63 0 1 167 2813 2435 1405 1047 124 294
S3dl,131 40 74 31 24 209 117 57 200 187
pVdl,32 20 11 22 29 221 886 1157 3156 368
Fwdl,3 4 13 28 6 33 324 38 89 10
n5dl,5 16 0 1 61 14 309 190 144 25
kzdl,0 882 1 5 357 254 362 16 2379 459
XUdl,46 2 113 44 119 64 848 155 162 2283
kmdl,3 6 1473 8 4 324 539 1046 28 2258
ckdl,629 275 246 887 62 1462 2665 200 2643 1
5Rdl,2136 0 1424 2999 1 963 193 893 2225 1401
N1dl,1636 309 626 1318 9 1 10 762 826 492
NFdl,42 0 487 1 1370 890 223 643 294 3626
TTdl,0 110 1 312 226 1293 17 1424 12 19
Jtdl,3 6 4 8 1473 324 10 9 1551 1189
Yedl,20 22 211 11 32 321 334 176 123 576
1Hdl,3756 199 26 157 326 354 407 16 1337 268
6sdl,8 14 271 3449 0 81 418 79 148 25
0ddl,7 2 320 197 531 2199 563 1789 235 1282
pHdl,12 225 312 71 1424 511 210 523 0 111
hBdl,7 2 90 1959 198 1307 174 235 283 531
Cvdl,25 268 755 1 337 3431 2027 682 16 2873
Qpdl,19 17 448 1173 143 0 841 2115 659 237
rMdl,21 23 115 1958 24 0 73 651 105 1988
3Pdl,474 227 191 1807 76 2 446 406 944 1333
v7dl,27 0 1 88 580 291 331 313 3815 192
lpdl,574 25 2166 16 1046 1027 1327 939 662 816
Cgdl,20 11 771 22 229 2562 763 749 1042 39
Bwdl,5 1895 618 136 662 16 405 597 1939 1679
sfdl,30 2 55 408 515 17 2251 905 7 975
PAdl,14 39 332 50 65 66 202 627 933 225
umdl,1 0 219 180 304 1232 153 36 132 517
qJdl,29 11 2651 20 2398 32 22 123 122 543
pcdl,140 15 67 18 699 1122 1954 2423 2425 50
Mydl,126 15 18 178 220 1548 1123 2181 59 27
2Vdl,36 0 1 94 147 180 132 142 423 403
aodl,51 442 45 77 56 1516 2 16 2175 137
5Odl,182 392 248 452 72 3857 428 944 360 68
oqdl,3 13 671 28 33 38 433 61 6 4
Szdl,8 6 835 832 2400 1296 1190 1652 206 2143
1Jdl,4 13 3 28 33 10 38 9 6 512
rDdl,50 65 256 998 355 493 503 422 1782 927
3tdl,14 815 3153 13 595 847 6 663 944 66
CSdl,182 392 990 634 1611 179 452 248 958 1014
LMdl,3529 0 2798 19 58 214 53 409 448 1
xLdl,1 0 268 755 561 438 916 147 36 357
cMdl,9 37 10 4 34 2656 1830 1721 421 889
NMdl,79 0 91 806 376 14 12 884 111 118
5Vdl,270 62 2 7 1000 544 1739 3362 993 3203
cndl,59 101 43 18 1032 286 1685 873 15 60
Kadl,5 16 0 1 1829 1448 1374 769 442 1481
Wtdl,53 58 214 2373 3147 1913 19 163 3106 2
spdl,61 3 433 1003 1059 248 1001 89 3575 599
83dl,126 220 2652 112 3059 11 276 1798 2181 1548
i9dl,320 7 2 269 197 2025 2075 316 2563 3586
fxdl,92 110 369 884 0 161 329 312 79 12
wpdl,82 12 1919 160 118 129 888 53 0 2
fadl,5 84 169 16 922 2739 1939 570 144 1912
zEdl,3 6 28 4 324 38 33 13 1473 10
qAdl,7 104 2 2532 224 267 165 1436 3373 413
o4dl,8 0 846 812 2287 52 948 12 885 760
zmdl,6 8 14 521 690 3 383 812 61 478
ucdl,8 6 71 206 14 812 99 293 807 332
Nbdl,1460 2 7 104 1252 30 3279 171 213 2816
XOdl,253 210 2 17 19 821 685 68 104 272
ATdl,0 1 5 106 27 69 997 395 16 150
M7dl,5 244 292 16 2573 2030 1478 2098 136 1395
Wgdl,5 597 144 1030 16 190 3053 384 2237 618
gPdl,8 1292 6 261 894 206 698 1348 650 3188
NAdl,238 43 274 59 18 366 15 60 873 158
DEdl,0 1 3694 489 776 1274 1742 3091 670 828
f2dl,0 1 69 35 591 535 2064 3462 180 193
ghdl,5 16 615 973 1312 362 81 1862 3038 1388
3ldl,1 1323 0 124 3451 132 287 3408 142 223
DVdl,12 0 312 52 118 79 82 1293 3607 1424
n4dl,2202 193 368 3 221 406 1058 13 647 396
ZKdl,17 19 0 82 2453 143 885 2926 381 1293
HCdl,19 17 1519 2 7 48 955 691 272 104
kDdl,3 6 4 13 10 28 9 38 33 188
WRdl,11 20 22 1165 229 368 1049 250 576 1011
qddl,0 27 1 294 590 657 63 2164 245 1305
YDdl,0 1 3622 5 409 738 443 2919 81 2511
ZPdl,12 0 92 118 342 2079 82 3144 195 1932
Grdl,30 2 7 361 280 3368 1808 2101 495 55
t5dl,714 5 14 0 3354 73 1915 16 1 1137
0zdl,31 47 40 57 4 626 3 2556 744 539
uxdl,0 12 3144 1 91 63 436 696 1281 432
Hwdl,9 10 37 4 1721 421 2756 2042 34 2996
pmdl,23 24 21 718 2614 471 115 1705 1235 775
BAdl,269 320 2025 2927 2166 1983 15 638 192 146
z3dl,3 6 4 13 28 10 38 9 324 33
xpdl,435 1568 26 16 199 130 326 189 268 636
Tpdl,26 526 326 199 847 466 370 527 194 1250
bZdl,58 53 228 166 2 163 151 2158 214 232
Fcdl,1309 1534 0 93 1 2083 106 102 3431 997
Wfdl,270 26 304 180 3691 21 7 199 23 379
YPdl,61 5 0 516 2387 1 597 16 267 111
wDdl,58 232 53 163 427 60 284 2690 340 166
7adl,538 0 696 1137 91 811 448 63 1 125
ZFdl,3 6 4 13 8 54 324 789 89 3479
x4dl,3 4 6 10 13 9 324 28 33 38
Fndl,142 0 1 36 94 180 304 219 153 657
Ghdl,31 40 57 117 47 26 461 28 260 492
qXdl,12 0 312 237 1937 79 3144 436 1 91
djdl,2 76 43 1068 30 361 17 281 1192 101
r2dl,115 21 23 2 596 52 7 574 2453 24
HNdl,33 28 78 38 86 257 13 2515 553 4
MHdl,2 30 55 17 3665 340 724 2251 284 1192
dkdl,468 451 2970 2751 2250 983 1653 1758 1120 0
S6dl,8 6 558 1191 834 206 1745 201 2 141
ywdl,6 3 99 8 1690 136 2967 2380 4 396
Vjdl,49 127 80 277 770 787 2274 3042 2013 612
Epdl,1426 226 530 1380 432 1233 0 641 151 874
RMdl,368 15 1260 18 59 11 178 2214 962 681
6Ndl,24 21 23 115 1094 1180 651 1705 520 1306
4Odl,1440 11 277 616 20 1025 498 1077 127 211
DQdl,5 6 597 154 919 16 3378 717 8 2380
mtdl,99 139 5 463 15 518 709 0 629 716
z1dl,5 1744 14 882 16 169 362 25 1184 328
CHdl,5 16 442 26 2699 1098 723 1594 3625 782
jQdl,72 68 480 452 98 30 3758 2 58 53
Rbdl,54 13 4 3 10 330 97 1461 41 168
Fpdl,157 1 0 407 481 153 203 681 2286 192
iPdl,7 2 2710 997 496 3852 43 165 588 2984
Eldl,79 0 91 376 312 1 918 12 110 806
y6dl,16 5 315 25 9 451 349 2202 864 4
5adl,50 65 698 2753 1103 781 161 2090 2848 557
Cadl,225 2578 1295 2261 8 89 1840 6 300 71
W8dl,14 2 30 848 408 46 55 44 2807 174
0Zdl,16 26 726 5 1594 8 2273 1320 441 315
FSdl,5 16 977 2973 268 2010 1545 2674 847 25
ZUdl,20 22 32 11 29 472 430 426 112 444
eIdl,27 0 1 35 294 192 183 851 105 590
WSdl,1002 15 666 60 451 1409 3636 18 2214 571
t1dl,12 0 312 237 1281 1459 91 2717 3144 336
ztdl,1 0 180 132 153 438 124 2089 714 62
2cdl,3 4 6 10 9 13 324 28 38 1473
Vudl,14 25 1100 4 3791 561 1362 9 13 2388
OGdl,4 3 9 10 13 28 6 33 2261 38
nYdl,646 251 62 334 2 7 11 26 1363 607
OUdl,8 6 332 1295 33 28 1652 38 690 61
KVdl,1036 2105 310 141 1 420 27 268 191 44
TUdl,313 88 191 1945 364 3243 141 429 1013 11
Wmdl,234 822 2188 535 467 678 309 2496 628 1
q5dl,246 658 74 588 629 424 105 1673 24 3764
bndl,76 446 2 281 474 7 227 1314 473 1815
nldl,136 16 49 5 3392 2176 189 3063 2646 102
wtdl,491 231 392 428 53 72 148 58 244 182
41dl,259 16 26 379 735 5 395 1 0 62
stdl,386 31 97 40 57 188 2137 1461 61 592
dRdl,0 204 1 853 150 380 5 184 1008 416
GVdl,9 34 10 4 3 840 13 539 3271 2013
wddl,96 15 1646 179 451 2 667 1466 789 1627
gEdl,39 1243 20 674 50 401 1828 866 529 181
ogdl,3 6 324 28 4 675 237 38 10 33
KRdl,8 806 0 835 3196 205 70 834 383 558
NXdl,46 109 1 138 0 44 264 1925 155 2
YKdl,139 0 1 423 102 180 36 93 1976 63
xxdl,8 1947 6 441 2 28 14 71 3659 16
sNdl,9 34 10 3271 840 37 889 2311 0 2
jYdl,13 164 4 429 54 806 8 205 175 2107
R9dl,31 47 3 698 4 40 2424 13 206 650
6edl,225 25 3 539 6 315 300 50 8 505
48dl,14 39 1109 6 50 152 25 332 225 1305
YAdl,25 282 1100 14 1842 2873 1499 1439 831 595
Ledl,346 82 103 350 537 118 8 894 0 261
nxdl,219 0 1 153 180 828 304 887 36 106
lPdl,78 28 33 38 86 257 2515 553 4 13
QWdl,46 44 2 64 119 113 800 7 501 109
1tdl,0 2201 1 447 215 81 412 217 108 358
jzdl,0 1 695 294 851 183 35 245 1220 1780
tgdl,49 612 127 97 770 870 277 1199 13 80
0gdl,79 0 91 63 450 1 918 12 237 312
9edl,348 40 31 833 47 57 330 13 3 389
G6dl,1092 765 1175 0 3270 641 611 215 15 622
mXdl,39 3 50 493 202 6 65 121 66 393
E2dl,6 8 558 1652 539 894 807 690 206 2938
ewdl,2676 158 181 994 270 146 3616 933 222 638
