VideoId,Label
XPaa,0 52 8 70 675 125 806 1424 12 3196
7Baa,5 16 49 3670 2679 2347 919 1374 292 244
3Baa,20 32 22 11 29 1775 572 426 680 173
X4aa,685 210 19 696 53 58 1417 2158 12 72
Obaa,164 13 4 429 175 89 1001 8 79 54
r4aa,6 8 3 690 558 414 1971 175 954 206
utaa,4 3 10 13 6 9 28 33 38 2144
Caaa,9 10 34 4 3271 840 2013 618 1523 1578
2waa,5 16 136 362 2143 2030 2273 1697 434 14
JJaa,310 3 89 8 6 71 53 944 717 141
Bpaa,670 0 1 1491 61 1562 241 599 42 1665
wQaa,79 91 0 376 806 918 884 12 450 63
vUaa,239 180 2109 60 304 158 2678 3556 1880 291
NCaa,58 53 163 232 427 284 1423 2690 166 214
gnaa,5 0 1 144 190 69 236 1912 1864 568
GDaa,0 63 335 1 167 633 336 1405 1990 759
Z0aa,51 56 45 2 77 295 137 456 1052 212
qeaa,30 2 280 55 1178 2825 7 608 17 1460
qHaa,50 65 493 332 256 152 781 39 71 1782
O1aa,9 10 37 4 2427 1523 655 2756 421 1721
F5aa,2370 225 146 674 1042 296 338 595 39 2214
K7aa,38 28 749 1363 9 33 87 2320 218 78
gaaa,6 8 206 650 3 1191 383 54 834 13
veaa,11 21 3343 1758 637 1510 505 23 511 1973
uYaa,859 1694 61 69 132 21 105 588 592 8
Pfaa,3 4 38 89 33 6 28 647 13 141
7Faa,30 2 196 940 2809 17 174 283 361 7
Zwaa,3 6 4 10 9 13 28 38 188 3836
opaa,329 832 88 385 2012 313 132 76 1795 210
4baa,5 328 49 265 362 80 919 16 662 744
Mpaa,0 1 27 180 815 42 2061 1720 1665 1100
LDaa,1123 821 251 347 388 1079 260 88 71 580
Nnaa,400 380 2305 184 1152 867 251 641 2561 11
lsaa,146 2887 209 49 1640 279 158 607 308 284
tgaa,671 97 10 4 585 2706 154 3596 54 9
eCaa,2482 382 1982 390 49 127 293 2659 260 2055
0waa,2 7 53 61 58 1053 375 75 359 310
TYaa,6 8 14 1947 459 3 933 834 71 812
AUaa,9 37 10 4 34 826 1830 2624 3686 2208
0Waa,24 21 23 2238 73 718 115 82 858 461
3yaa,30 2 55 361 2018 7 2809 174 2073 975
ntaa,30 2 55 2809 940 196 7 2018 2814 361
Yzaa,570 864 16 707 1694 5 84 1251 2445 3724
fQaa,14 3153 1109 61 31 244 626 663 2174 503
5Saa,3 675 324 4 237 9 28 1473 0 10
Wkaa,15 96 509 363 1308 555 18 1666 2794 709
8Zaa,7 2 1372 1316 116 171 266 197 344 316
iDaa,181 39 50 222 216 986 66 249 31 256
XHaa,39 202 156 627 121 207 529 21 23 1086
NHaa,3724 570 453 11 26 2054 749 1763 1264 2818
0Uaa,3 324 89 4 201 10 9 6 31 13
gqaa,2688 2663 1007 49 1765 80 1037 732 1248 1712
YOaa,49 97 612 13 146 127 54 4 870 1461
qqaa,5 84 405 169 16 618 1939 3349 662 2739
sBaa,140 67 1122 18 15 1954 2153 2256 1831 699
iFaa,5 169 922 405 84 16 1935 663 932 3038
p4aa,301 5 144 309 190 3087 662 384 1251 1080
yEaa,93 102 0 1 851 2551 1193 1438 774 1114
8Raa,154 4 13 6 54 164 1633 1001 3 263
34aa,46 195 2 44 114 2453 342 113 962 30
P7aa,22 20 11 1928 576 176 211 122 29 123
eOaa,0 12 806 312 2457 237 675 432 1459 3144
RHaa,2 218 7 305 104 56 3483 3129 75 2477
h3aa,1009 179 146 1 301 0 667 106 836 25
84aa,2629 1186 11 20 39 50 181 674 127 22
tTaa,46 44 114 107 109 1170 852 2 145 138
Uhaa,25 1100 1 282 285 1439 2891 3431 3520 189
50aa,39 866 434 1115 1667 529 1501 50 817 11
8Saa,1 0 36 94 25 481 35 147 132 2893
Rtaa,14 39 332 882 3233 6 301 202 2147 362
UEaa,8 84 835 6 894 548 206 834 3802 1455
hgaa,8 806 0 6 835 205 812 834 558 1517
ieaa,1638 571 76 2 88 1389 299 428 43 281
xjaa,19 17 143 0 12 2 237 79 125 52
HVaa,164 13 4 175 1242 0 842 12 89 79
mEaa,0 36 1 94 147 185 180 142 153 828
M7aa,11 123 839 260 99 727 176 368 911 334
Q9aa,2412 0 241 1562 1 2336 1917 591 836 1071
JXaa,2 218 508 56 7 75 2572 401 165 1460
ilaa,130 26 15 21 1363 24 1899 88 18 23
LZaa,2 90 7 75 83 810 1205 62 780 197
RIaa,1698 31 666 357 97 2 551 40 1294 2137
H2aa,2 7 712 90 937 158 2542 1128 1664 3246
Abaa,75 2 3284 56 172 1205 1555 508 3421 500
Oiaa,8 14 806 205 663 25 1184 595 61 260
Zlaa,887 1 0 275 180 132 192 183 42 223
cxaa,49 53 418 58 80 68 72 11 354 692
cTaa,67 18 15 140 1910 796 3400 1287 1048 2153
lMaa,505 315 2 2214 2090 50 25 3635 894 436
q5aa,9 37 10 4 34 2624 309 826 1312 421
kJaa,170 18 15 314 67 140 1580 1247 1360 2444
zLaa,217 622 215 0 600 607 304 1136 611 643
KXaa,366 238 274 1007 59 43 18 773 668 15
Ltaa,67 15 18 239 140 11 60 1626 1452 533
1kaa,1 0 219 1322 546 180 562 815 968 153
V3aa,94 36 1 0 147 142 180 304 183 185
jHaa,2 83 7 620 804 783 17 2721 1926 531
yAaa,9 37 10 4 421 34 1523 1721 1100 300
Pqaa,9 37 421 10 4 2334 1065 2042 1523 1721
lVaa,1 246 0 193 3358 203 150 105 409 1207
2Laa,82 118 103 0 440 1424 2736 17 160 125
9xaa,431 0 586 1 290 42 241 93 1427 591
7Oaa,3 6 8 4 3153 89 1046 3479 1473 332
whaa,5 855 2068 136 533 16 2487 2098 1395 1132
6eaa,28 33 38 78 175 164 0 1051 86 512
xmaa,779 512 0 1 28 1446 33 9 339 105
VAaa,169 301 84 5 1251 3087 2322 327 772 2300
noaa,3 6 4 13 324 28 54 10 89 1830
Wpaa,9 34 10 4 539 3101 840 618 1644 3271
aTaa,3 13 4 6 54 71 433 10 154 89
82aa,387 1 25 700 717 777 2858 0 1780 111
pCaa,1768 0 1 657 1465 677 35 920 36 134
0Kaa,19 17 2 696 7 30 394 659 2084 55
JIaa,0 1 2344 489 35 776 774 294 337 1834
hyaa,41 4 13 54 3 429 389 348 205 164
LUaa,2 7 30 113 656 64 119 90 44 531
NTaa,43 101 2 286 76 59 18 873 60 17
pVaa,0 63 336 1 5 105 81 192 1405 488
5Yaa,301 5 2300 1251 41 3087 1710 1312 108 1981
qfaa,139 0 1 730 254 192 2643 105 294 739
hFaa,248 11 428 419 511 59 2214 2646 1389 238
QHaa,62 1428 2 7 90 810 1154 1634 411 83
Zhaa,6 9 3 10 4 395 2801 37 150 14
uGaa,3266 11 83 2000 1625 2091 2 262 15 528
u3aa,106 301 200 3233 731 703 3069 1 203 2147
9Zaa,370 978 22 11 1254 576 20 43 749 2277
Y5aa,24 158 279 74 115 21 146 23 1010 1899
3jaa,2 1 7 349 2835 0 2355 24 1899 590
Cmaa,1135 1 0 319 105 234 331 881 1648 716
pUaa,147 36 1 94 0 132 582 423 183 142
D7aa,61 14 111 63 256 268 478 599 2883 0
CZaa,80 5 49 2489 1263 139 61 74 1172 134
Xgaa,294 192 1 0 27 331 455 183 105 488
QNaa,17 19 149 64 2 128 7 448 272 26
E4aa,3 6 4 433 28 324 13 54 539 637
hWaa,79 0 91 376 450 918 1 806 12 161
joaa,175 7 2 116 8 201 48 141 30 89
5saa,17 19 2 7 75 129 48 344 128 1101
MRaa,5 169 922 84 49 516 1546 882 16 1744
Dhaa,669 60 519 995 419 1238 511 427 353 289
8Paa,41 13 389 4 3 54 2287 8 71 33
giaa,893 225 282 4 111 447 69 217 215 93
Xtaa,8 383 3546 1633 6 894 1737 110 369 835
mlaa,3 4 13 6 10 28 9 38 33 54
dcaa,14 2807 2308 71 944 429 205 146 308 88
R0aa,5 1551 16 1312 362 3038 663 301 1612 1912
Coaa,0 765 1092 1175 3270 203 2457 3144 1458 15
Miaa,8 6 807 3 383 917 2152 558 894 1594
phaa,94 36 147 1 0 423 192 681 294 3327
xgaa,281 17 76 2 19 901 1271 1068 43 446
WGaa,2 7 30 2036 53 62 17 280 90 58
D2aa,149 2 64 902 95 75 729 26 297 593
MUaa,488 2723 105 455 192 1 331 24 269 424
CMaa,39 50 794 674 382 207 986 1443 2431 3508
wnaa,111 0 42 1 431 486 1071 1385 591 1984
evaa,1018 1 309 0 105 409 203 246 192 436
qFaa,9 10 4 34 539 6 1644 3 13 3271
Ytaa,93 102 0 1 2811 1438 2551 2219 1193 1401
YAaa,2 30 2694 7 3610 1068 76 281 280 17
74aa,241 0 1 1844 1006 2886 1761 42 1686 1562
Xlaa,595 25 225 332 1499 734 663 282 660 521
Tgaa,791 341 11 22 20 307 1891 1693 29 2461
rbaa,17 2 11 7 749 1447 757 2587 45 3635
lraa,140 67 18 15 2564 2212 699 1954 518 54
0eaa,158 279 937 2209 43 488 2 3522 7 24
x7aa,93 102 449 25 2716 2483 1193 2811 1802 192
yHaa,71 66 152 401 225 201 2380 648 1652 1248
HTaa,27 0 972 1 859 139 49 241 124 192
37aa,23 24 21 131 74 684 1269 880 115 676
QAaa,24 23 21 2654 209 1 73 131 1269 74
8paa,984 2122 485 422 1325 1911 15 2393 499 701
b3aa,1 0 35 976 489 1623 192 234 768 776
7Caa,1 16 0 5 27 868 189 259 26 309
wLaa,1074 6 14 1188 3 5 1062 11 913 112
6laa,7 2 197 198 531 513 316 267 2140 2547
Sjaa,5 144 384 190 1080 16 2237 1912 3053 618
TSaa,4 154 10 13 9 263 3 2582 351 6
qmaa,188 594 168 4 31 3 9 3103 28 13
b5aa,7 2 171 235 1435 198 2199 283 531 1669
Hoaa,68 72 151 31 98 3302 166 3199 907 53
Wsaa,114 46 107 44 145 155 109 138 2 854
qsaa,27 0 1 192 580 1021 35 331 714 1305
Nyaa,1332 147 277 94 192 165 588 234 357 1519
u6aa,319 0 111 5 1 1802 150 740 489 1483
t2aa,30 2 55 17 975 2809 940 2101 1492 464
t8aa,14 8 6 690 2308 2701 2807 271 3199 72
onaa,3 4 89 237 675 324 28 9 38 201
1xaa,308 205 71 2287 13 1109 41 1811 598 1936
glaa,1 0 1522 35 105 1335 309 2330 1955 1648
3faa,2 76 227 474 446 25 985 191 1807 944
0Daa,1 0 407 349 157 535 590 35 436 960
IUaa,1 5 0 929 1885 16 3401 144 309 209
xpaa,3 4 10 31 6 13 47 28 9 278
ewaa,2250 700 1171 1731 962 1430 2 749 2927 2744
igaa,2719 88 571 2032 146 2013 3 54 313 96
saaa,458 2 7 196 361 715 174 213 48 1307
AGaa,20 22 11 112 472 29 32 122 444 2181
chaa,482 501 398 1290 166 3524 664 2 333 44
Ilaa,83 2 541 7 820 2130 1526 2667 262 1625
W9aa,26 466 3821 817 1250 2242 309 194 18 15
NXaa,8 6 206 894 54 650 89 834 161 835
GCaa,51 45 2 56 77 295 137 456 1052 212
rqaa,27 0 1 132 25 268 331 451 255 282
Craa,21 23 24 158 2 343 46 2250 1329 962
hwaa,3 4 6 14 13 47 1109 54 663 1074
0Caa,1 0 185 36 132 142 35 147 192 287
g0aa,31 40 47 57 117 4 3653 1149 944 626
jRaa,9 37 10 4 34 2624 1100 309 421 638
7gaa,3 4 154 13 2839 10 6 324 1074 89
aZaa,14 182 392 452 958 146 248 2 210 1569
4Vaa,45 2 871 51 56 7 295 255 11 571
15aa,1 0 35 822 105 1648 1358 203 1521 2451
mTaa,3 4 9 33 10 28 13 38 37 324
z0aa,1 24 0 21 3454 23 73 288 928 203
hqaa,2 7 402 79 749 11 616 1062 1493 995
Wnaa,12 0 63 1459 2 1767 3144 336 237 2717
pSaa,7 2 1372 171 3007 885 165 174 1038 283
xUaa,146 179 2214 54 1002 1120 97 451 2319 1461
9iaa,12 0 3144 237 675 118 1281 1224 689 432
jEaa,14 6 61 8 433 3 324 25 89 3225
8iaa,106 703 640 1375 974 1118 2015 2777 3843 21
CXaa,0 12 91 336 63 1405 689 1459 2717 335
fvaa,269 1010 21 158 320 1 115 192 23 937
6Iaa,12 0 1937 675 237 19 1281 448 689 118
1gaa,1850 50 65 1493 11 1013 206 2239 674 3343
J4aa,9 10 2541 970 34 889 251 351 3596 2261
5Maa,7 2 198 457 283 1124 165 531 197 1372
EFaa,401 1658 195 569 1424 1037 1061 875 259 15
l3aa,6 8 3 1594 558 4 89 598 806 206
IJaa,521 332 66 827 8 2337 293 282 2571 12
IYaa,40 31 57 117 47 626 3653 846 9 348
IMaa,5 16 826 973 1312 309 136 2674 2399 941
oHaa,71 152 14 849 293 11 308 146 1640 176
J8aa,2171 189 1 0 741 54 921 241 762 124
xwaa,339 0 1 687 1431 193 2267 436 3115 9
LHaa,10 9 4 2691 1542 97 34 2261 3 3642
LWaa,5 3053 597 1030 16 3851 717 144 618 764
0iaa,302 11 126 291 1591 20 15 220 276 2718
J7aa,1 0 1813 436 35 46 155 264 186 134
Nxaa,14 4 9 301 28 6 13 33 3 38
VCaa,99 716 1964 717 252 1078 3089 9 3 2626
SGaa,550 351 10 9 4 1542 13 2261 1100 889
DCaa,3246 2 7 1429 2532 174 1460 2059 267 165
YQaa,1 19 48 0 575 258 177 1284 1682 1787
VPaa,125 70 52 0 1 578 333 3245 14 91
5jaa,30 340 2 55 427 17 1741 1197 143 58
mmaa,133 325 6 8 954 1027 911 3824 3 690
pdaa,67 18 15 140 2128 1048 1287 1454 2248 1122
h1aa,71 152 41 8 31 849 389 3 47 944
zraa,50 65 256 998 503 493 763 1782 850 781
Feaa,0 5 81 1903 1 244 262 42 292 1658
0zaa,3 4 10 9 6 13 34 28 324 33
j3aa,9 10 37 4 34 655 1830 421 409 889
zKaa,79 100 0 271 1293 11 802 523 1853 12
iEaa,315 505 246 16 189 894 2214 105 864 1082
Bvaa,2 7 620 804 141 280 83 30 1068 1192
wpaa,389 41 1716 2287 2032 205 1357 1028 1641 556
7naa,21 23 73 24 66 81 786 108 554 410
J2aa,112 32 22 20 11 29 120 767 472 444
8Oaa,1 48 0 575 1787 1682 19 524 2795 988
Sfaa,66 148 293 1313 332 766 849 521 2658 1537
2paa,139 0 1 35 27 262 254 88 486 12
ADaa,36 94 1 367 0 180 403 147 192 132
Bzaa,87 15 18 244 3516 545 1779 536 67 262
6vaa,27 0 1 46 35 183 357 768 192 134
9Xaa,30 2 608 55 3490 340 280 7 2581 3005
nNaa,14 99 1189 1107 1075 17 7 2 25 682
VYaa,3 6 4 13 324 10 14 54 28 3824
Dkaa,19 2 7 17 48 451 1632 1053 235 394
Lsaa,3197 752 11 1168 59 604 18 15 22 571
WYaa,124 0 1 317 180 287 153 2435 42 223
Oaaa,0 1 815 799 2267 124 1051 768 3756 3076
Y3aa,20 22 11 29 32 122 123 334 680 605
OVaa,8 3824 6 2380 807 71 944 3822 726 2671
M5aa,5 973 81 16 3098 1145 2237 108 84 309
gUaa,100 161 356 1515 567 548 1223 1455 704 1103
Zcaa,0 12 1 3144 63 689 436 1937 312 237
dRaa,5 16 136 49 1395 1132 3677 292 362 2214
Hqaa,3 4 10 1109 6 54 13 9 1936 188
6Xaa,25 2372 1354 1100 282 93 1362 1 102 3046
WQaa,96 15 579 2995 789 239 67 1666 7 363
Kraa,275 629 200 697 74 1462 62 1664 1871 703
aVaa,3 6 433 4 13 3063 61 28 8 324
ZKaa,5 362 328 16 1996 49 1481 84 14 618
GPaa,1 0 132 36 142 147 183 185 287 294
Q6aa,1 48 104 85 35 0 177 3214 213 196
BNaa,524 753 988 1519 2 955 128 48 17 7
xGaa,3 6 4 14 8 433 28 201 1803 89
Uwaa,628 1 0 234 203 467 5 678 2267 105
YKaa,1121 2309 15 1511 18 59 311 360 1966 1260
FCaa,5 16 2403 1444 204 2143 1374 1478 150 2679
a6aa,14 812 3199 578 31 944 71 146 600 61
Vgaa,418 725 49 1108 80 51 2 45 33 803
Opaa,7 2 1852 224 1000 165 1930 53 495 942
P8aa,6 539 3 8 894 4 10 9 1644 1416
S4aa,580 1099 1010 1443 471 3561 7 158 50 146
5Faa,1 337 864 921 1262 25 189 1885 1521 285
Q8aa,8 834 874 6 807 383 1292 1195 806 261
l2aa,501 482 398 166 1290 333 359 46 1837 43
8taa,412 215 447 217 0 915 790 23 21 643
uiaa,1105 66 39 293 222 181 1517 148 441 390
IKaa,74 187 24 131 200 1896 115 3614 106 520
gYaa,0 1 150 35 204 2064 3687 1008 1922 2435
AIaa,59 18 43 823 604 101 419 15 60 991
ncaa,102 93 0 26 1 590 3093 1401 1250 130
jzaa,12 0 436 336 63 105 1 1405 451 139
0oaa,1 1336 159 0 1817 1419 327 1390 25 772
guaa,214 58 53 163 494 3725 79 49 12 2
2Jaa,2288 0 1 2 438 88 35 85 46 2022
GLaa,0 1 733 762 2755 826 844 362 5 1319
wfaa,5 516 16 3684 3038 1981 169 84 1184 1140
Yhaa,3 4 6 433 324 1473 61 28 89 38
VLaa,2539 66 50 148 933 39 3227 194 674 396
YTaa,1 0 438 36 147 562 185 230 132 153
jpaa,3 13 6 4 89 54 910 324 28 8
NEaa,685 696 210 19 17 8 60 226 705 1109
7kaa,3 13 8 4 89 6 97 433 1001 71
LMaa,83 11 1081 751 601 720 262 2 1613 7
NQaa,16 25 5 136 864 2098 1860 1 532 441
ojaa,139 0 1 730 110 2643 562 349 1359 1562
DDaa,418 725 80 1108 49 151 277 182 127 125
lTaa,3 6 54 14 13 248 310 4 201 89
Uvaa,180 1749 1452 381 185 25 1 153 239 677
hUaa,3653 1 0 337 960 35 1885 25 3424 309
Aqaa,1 85 35 0 48 177 230 1023 245 258
s2aa,2537 8 1028 1949 16 846 369 884 1245 1737
jTaa,461 1325 21 40 192 23 187 498 588 2100
xqaa,11 22 29 32 20 1764 1209 1548 112 255
N6aa,13 4 54 3 330 168 154 164 806 1799
ddaa,64 2 149 7 165 75 95 3005 2542 172
QXaa,49 80 5 265 694 144 919 190 2161 418
mPaa,2 90 7 2802 165 413 1042 810 196 3531
mYaa,2 7 385 182 392 1460 76 165 1372 1068
rSaa,14 4 6 9 8 99 3 595 13 2307
57aa,30 2 2825 280 55 1460 608 1197 2036 7
zdaa,61 599 1059 2933 3011 433 3575 1800 843 330
Zuaa,70 125 52 0 1 806 91 705 63 1332
0haa,3 4 10 9 6 324 28 13 34 278
NWaa,8 6 894 71 846 2403 932 3 61 558
94aa,8 6 894 1400 383 1147 3196 812 1317 835
3baa,70 125 52 0 91 1681 578 8 1 806
BWaa,8 161 835 1207 1463 61 952 564 369 197
mKaa,2 75 56 500 208 7 347 83 871 17
HWaa,0 5 769 1 647 28 470 1674 1903 395
gfaa,12 296 359 667 1002 310 237 179 1151 89
zaaa,9 37 10 421 1721 655 2427 1065 2042 1523
hGaa,815 25 2503 8 53 2 869 83 161 414
bBaa,5 16 618 2056 816 1140 662 2662 2096 1262
Zoaa,19 17 1073 30 55 2 175 394 408 1053
oaaa,17 19 7 2 104 48 841 128 715 129
msaa,25 133 16 726 11 354 225 1766 356 749
pwaa,25 14 225 1 61 0 337 1116 815 828
Wqaa,5 328 1996 362 14 16 882 84 1481 592
9gaa,13 4 54 41 3 10 164 28 1811 97
ubaa,23 21 24 115 684 471 1094 1705 3239 676
esaa,1710 5 301 2300 1 662 649 0 1312 516
SSaa,7 2 21 428 191 749 141 23 1428 382
5Jaa,482 398 501 296 359 333 166 60 1290 848
woaa,82 118 530 103 1293 53 58 17 537 1417
iAaa,1103 110 8 2384 369 329 1463 698 548 2090
UOaa,9 4 10 34 37 13 816 309 5 2261
Yyaa,2777 24 21 3732 23 320 1 471 105 192
q9aa,1742 1 407 0 489 14 776 582 157 25
Wtaa,5 16 0 1 234 328 681 179 246 36
s7aa,83 2 2126 7 751 208 778 2130 1081 11
Hwaa,2 7 116 135 75 95 297 165 172 1580
